text,label
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
NASA successfully launched a new satellite for climate observation.,1
The Indian Parliament passed a bill to support rural healthcare.,1
The WHO released updated malaria treatment guidelines globally.,1
ISRO announced its next lunar mission will launch in early 2025.,1
The Supreme Court upheld the data privacy act in a recent decision.,1
